row_id,L,P,tipo,linhas_executaveis,linhas_executadas,linhas_nao_executadas,binary_tempo_ns,binary_memoria_kb,binary_iteracoes,interpolation_tempo_ns,interpolation_memoria_kb,interpolation_iteracoes,binary_interpolation_tempo_ns,binary_interpolation_memoria_kb,binary_interpolation_iteracoes,interpolation_once_binary_tempo_ns,interpolation_once_binary_memoria_kb,interpolation_once_binary_iteracoes
sim_008_L_32768_P_40_biased,32768,40,biased,32768,13107,19661,62.902,17456.0,13.355,105.546,17456.0,6.879,65.282,17456.0,3.798,56.919,17456.0,11.946
sim_008_L_32768_P_40_cluster,32768,40,cluster,32768,13107,19661,59.881,17300.0,13.31,115.634,17300.0,7.314,101.308,17300.0,5.387,60.653,17300.0,12.932
sim_008_L_32768_P_40_fault,32768,40,fault,32768,13107,19661,60.96,17316.0,13.342,52.709,17316.0,3.63,58.686,17316.0,3.391,64.828,17316.0,12.537
sim_008_L_32768_P_40_uniform,32768,40,uniform,32768,13107,19661,61.419,17472.0,13.357,38.346,17472.0,2.851,49.291,17472.0,2.777,63.073,17472.0,12.462
sim_008_L_32768_P_50_biased,32768,50,biased,32768,16384,16384,64.331,17524.0,13.501,81.16,17524.0,5.727,69.182,17524.0,3.889,60.963,17524.0,12.324
sim_008_L_32768_P_50_cluster,32768,50,cluster,32768,16384,16384,62.756,16992.0,13.501,118.07,16992.0,7.299,96.573,16992.0,5.341,63.091,16992.0,12.905
sim_008_L_32768_P_50_fault,32768,50,fault,32768,16384,16384,63.382,17768.0,13.5,53.947,17768.0,3.723,58.626,17768.0,3.502,66.126,17768.0,13.439
sim_008_L_32768_P_50_uniform,32768,50,uniform,32768,16384,16384,65.204,17372.0,13.501,44.564,17372.0,2.95,46.834,17372.0,2.84,64.645,17372.0,12.921
sim_008_L_32768_P_60_biased,32768,60,biased,32768,19660,13108,64.744,17364.0,13.735,81.183,17364.0,5.144,68.135,17364.0,3.945,58.493,17364.0,12.522
sim_008_L_32768_P_60_cluster,32768,60,cluster,32768,19660,13108,62.539,17392.0,13.747,91.369,17392.0,6.23,89.704,17392.0,5.07,66.475,17392.0,13.693
sim_008_L_32768_P_60_fault,32768,60,fault,32768,19660,13108,66.135,17480.0,13.728,55.133,17480.0,3.699,59.447,17480.0,3.522,63.17,17480.0,13.217
sim_008_L_32768_P_60_uniform,32768,60,uniform,32768,19660,13108,64.915,17524.0,13.736,40.82,17524.0,2.852,48.946,17524.0,2.791,65.222,17524.0,12.991
sim_008_L_32768_P_70_biased,32768,70,biased,32768,22937,9831,67.627,17228.0,13.875,72.643,17228.0,4.612,66.264,17228.0,3.875,61.181,17228.0,12.816
sim_008_L_32768_P_70_cluster,32768,70,cluster,32768,22937,9831,64.113,17668.0,13.88,81.808,17668.0,5.444,79.613,17668.0,4.623,64.593,17668.0,13.872
sim_008_L_32768_P_70_fault,32768,70,fault,32768,22937,9831,66.982,17768.0,13.875,52.177,17768.0,3.432,55.13,17768.0,3.307,66.172,17768.0,13.451
sim_008_L_32768_P_70_uniform,32768,70,uniform,32768,22937,9831,63.057,17304.0,13.872,42.526,17304.0,3.119,49.627,17304.0,3.075,65.329,17304.0,12.758
sim_008_L_32768_P_80_biased,32768,80,biased,32768,26214,6554,66.287,17744.0,13.949,63.359,17744.0,4.265,64.984,17744.0,3.86,65.0,17744.0,13.455
sim_008_L_32768_P_80_cluster,32768,80,cluster,32768,26214,6554,64.906,17408.0,13.947,72.475,17408.0,4.951,72.106,17408.0,4.252,67.916,17408.0,13.985
sim_008_L_32768_P_80_fault,32768,80,fault,32768,26214,6554,64.77,17512.0,13.953,51.375,17512.0,3.644,60.551,17512.0,3.538,65.605,17512.0,13.535
sim_008_L_32768_P_80_uniform,32768,80,uniform,32768,26214,6554,64.958,17544.0,13.95,40.292,17544.0,3.038,47.694,17544.0,3.018,69.635,17544.0,14.065
sim_008_L_4096_P_30_biased,4096,30,biased,4096,1228,2868,43.97,17512.0,10.032,119.795,17512.0,7.424,53.681,17512.0,3.106,47.922,17512.0,8.815
sim_008_L_4096_P_30_cluster,4096,30,cluster,4096,1228,2868,52.003,17796.0,10.1,125.111,17796.0,7.091,95.777,17796.0,4.685,59.916,17796.0,10.556
sim_008_L_4096_P_30_fault,4096,30,fault,4096,1228,2868,47.474,17544.0,10.044,53.615,17544.0,3.38,60.93,17544.0,3.107,50.928,17544.0,9.087
sim_008_L_4096_P_30_uniform,4096,30,uniform,4096,1228,2868,48.352,17532.0,10.054,34.313,17532.0,2.444,39.764,17532.0,2.345,53.392,17532.0,9.964
sim_008_L_4096_P_40_biased,4096,40,biased,4096,1638,2458,38.041,17796.0,10.353,75.029,17796.0,5.45,51.124,17796.0,3.22,43.651,17796.0,9.092
sim_008_L_4096_P_40_cluster,4096,40,cluster,4096,1638,2458,43.454,17504.0,10.295,128.669,17504.0,7.526,84.909,17504.0,4.713,57.553,17504.0,10.049
sim_008_L_4096_P_40_fault,4096,40,fault,4096,1638,2458,45.041,17668.0,10.336,49.273,17668.0,3.539,56.423,17668.0,3.244,55.261,17668.0,9.59
sim_008_L_4096_P_40_uniform,4096,40,uniform,4096,1638,2458,47.792,17744.0,10.359,40.654,17744.0,2.854,52.402,17744.0,2.768,55.192,17744.0,9.702
sim_008_L_4096_P_50_biased,4096,50,biased,4096,2048,2048,44.584,17544.0,10.503,86.055,17544.0,5.326,59.623,17544.0,3.58,52.059,17544.0,10.09
sim_008_L_4096_P_50_cluster,4096,50,cluster,4096,2048,2048,42.487,17744.0,10.503,102.738,17744.0,6.583,78.878,17744.0,4.44,50.559,17744.0,9.967
sim_008_L_4096_P_50_fault,4096,50,fault,4096,2048,2048,45.372,17504.0,10.503,54.199,17504.0,3.772,63.009,17504.0,3.459,57.287,17504.0,10.242
sim_008_L_4096_P_50_uniform,4096,50,uniform,4096,2048,2048,51.189,17532.0,10.503,45.667,17532.0,2.88,53.118,17532.0,2.766,60.029,17532.0,10.628
sim_008_L_4096_P_60_biased,4096,60,biased,4096,2457,1639,49.878,17544.0,10.745,56.764,17544.0,4.144,59.129,17544.0,3.528,51.348,17544.0,9.476
sim_008_L_4096_P_60_cluster,4096,60,cluster,4096,2457,1639,45.652,17512.0,10.669,108.869,17512.0,6.733,76.141,17512.0,4.306,49.099,17512.0,10.432
